backend,mode,repeat,warmup,tick,frames,wall_ms
taew2_2,typed,2,False,4,12,295.69160705432296
taew2_2,typed,2,False,5,12,290.00295558944345
taew2_2,typed,2,False,6,12,319.1313319839537
taew2_2,typed,2,False,7,12,299.28144067525864
taew2_2,typed,2,False,8,12,291.18745401501656
taew2_2,typed,2,False,9,12,294.13742711767554
taew2_2,typed,2,False,10,12,299.8431050218642
taew2_2,typed,2,False,11,12,301.3222673907876
taew2_2,typed,2,False,12,12,302.5656449608505
taew2_2,typed,2,False,13,12,294.28094904869795
taew2_2,typed,2,False,14,12,294.1430429928005
taew2_2,typed,2,False,15,12,296.16211680695415
taew2_2,typed,2,False,16,12,294.1182437352836
taew2_2,typed,2,False,17,12,296.686016023159
taew2_2,typed,2,False,18,12,311.99861504137516
taew2_2,typed,2,False,19,12,302.2750550881028
taew2_2,typed,2,False,20,12,312.7513346262276
taew2_2,typed,2,False,21,12,303.568460047245
taew2_2,typed,2,False,22,12,302.78647784143686
taew2_2,typed,2,False,23,12,307.4736478738487
taew2_2,typed,2,False,24,12,315.96376607194543
taew2_2,typed,2,False,25,12,311.6034930571914
taew2_2,typed,2,False,26,12,301.00208008661866
taew2_2,typed,2,False,27,12,295.50047498196363
taew2_2,typed,2,False,28,12,295.98251916468143
taew2_2,typed,2,False,29,12,298.1276446953416
taew2_2,typed,2,False,30,12,303.40055376291275
taew2_2,typed,2,False,31,12,301.2356008403003
taew2_2,typed,2,False,32,12,303.8397920317948
taew2_2,typed,2,False,33,12,297.40223940461874
taew2_2,typed,2,False,34,12,296.56879091635346
taew2_2,typed,3,False,0,9,889.175811316818
taew2_2,typed,3,False,1,12,300.7680829614401
taew2_2,typed,3,False,2,12,477.094663772732
taew2_2,typed,3,False,3,12,311.7100838571787
taew2_2,typed,3,False,4,12,307.74929001927376
taew2_2,typed,3,False,5,12,293.5071480460465
taew2_2,typed,3,False,6,12,289.0237048268318
taew2_2,typed,3,False,7,12,290.86697893217206
taew2_2,typed,3,False,8,12,297.40568017587066
taew2_2,typed,3,False,9,12,293.3465321548283
taew2_2,typed,3,False,10,12,291.08088882640004
taew2_2,typed,3,False,11,12,293.5653799213469
taew2_2,typed,3,False,12,12,330.43347485363483
taew2_2,typed,3,False,13,12,320.25851821526885
taew2_2,typed,3,False,14,12,301.9247311167419
taew2_2,typed,3,False,15,12,304.09225495532155
taew2_2,typed,3,False,16,12,304.8546020872891
taew2_2,typed,3,False,17,12,322.98242673277855
taew2_2,typed,3,False,18,12,327.93500320985913
taew2_2,typed,3,False,19,12,315.8154431730509
taew2_2,typed,3,False,20,12,302.04501980915666
taew2_2,typed,3,False,21,12,306.19261506944895
taew2_2,typed,3,False,22,12,310.8849977143109
taew2_2,typed,3,False,23,12,307.14381532743573
taew2_2,typed,3,False,24,12,304.46484172716737
taew2_2,typed,3,False,25,12,301.4594940468669
taew2_2,typed,3,False,26,12,305.35121075809
taew2_2,typed,3,False,27,12,301.1911087669432
taew2_2,typed,3,False,28,12,310.77836686745286
taew2_2,typed,3,False,29,12,312.00937693938613
taew2_2,typed,3,False,30,12,297.2358246333897
taew2_2,typed,3,False,31,12,313.1522499024868
taew2_2,typed,3,False,32,12,311.94958789274096
taew2_2,typed,3,False,33,12,296.8793245963752
taew2_2,typed,3,False,34,12,298.19525871425867
taew2_2,stepwise,0,True,0,9,3316.616849973798
taew2_2,stepwise,0,True,1,12,296.76306899636984
taew2_2,stepwise,0,True,2,12,295.2330708503723
taew2_2,stepwise,0,True,3,12,289.89037219434977
taew2_2,stepwise,0,True,4,12,297.5972290150821
taew2_2,stepwise,0,True,5,12,295.3515248373151
taew2_2,stepwise,0,True,6,12,300.3124641254544
taew2_2,stepwise,0,True,7,12,295.74116598814726
taew2_2,stepwise,0,True,8,12,302.70524276420474
taew2_2,stepwise,0,True,9,12,304.31368201971054
taew2_2,stepwise,0,True,10,12,300.5830319598317
taew2_2,stepwise,0,True,11,12,299.36281125992537
taew2_2,stepwise,0,True,12,12,551.1258258484304
taew2_2,stepwise,0,True,13,12,303.81538113579154
taew2_2,stepwise,0,True,14,12,298.68828784674406
taew2_2,stepwise,0,True,15,12,307.0730399340391
taew2_2,stepwise,0,True,16,12,314.6395953372121
taew2_2,stepwise,0,True,17,12,316.57851999625564
taew2_2,stepwise,0,True,18,12,309.29813301190734
taew2_2,stepwise,0,True,19,12,307.3359336704016
taew2_2,stepwise,0,True,20,12,304.24232920631766
taew2_2,stepwise,0,True,21,12,307.31681594625115
taew2_2,stepwise,0,True,22,12,293.6474671587348
taew2_2,stepwise,0,True,23,12,300.8459717966616
taew2_2,stepwise,0,True,24,12,299.0366951562464
taew2_2,stepwise,0,True,25,12,307.4899041093886
taew2_2,stepwise,0,True,26,12,306.7349069751799
taew2_2,stepwise,0,True,27,12,298.45782183110714
taew2_2,stepwise,0,True,28,12,295.09853990748525
taew2_2,stepwise,0,True,29,12,303.53127187117934
taew2_2,stepwise,0,True,30,12,298.94746001809835
taew2_2,stepwise,0,True,31,12,301.552657969296
taew2_2,stepwise,0,True,32,12,298.12157107517123
taew2_2,stepwise,0,True,33,12,319.1629331558943
taew2_2,stepwise,0,True,34,12,314.08919394016266
taew2_2,stepwise,1,False,0,9,1299.501596018672
taew2_2,stepwise,1,False,1,12,286.7824248969555
taew2_2,stepwise,1,False,2,12,290.6758110038936
taew2_2,stepwise,1,False,3,12,293.22053818032146
taew2_2,stepwise,1,False,4,12,290.1517851278186
taew2_2,stepwise,1,False,5,12,299.83737086877227
taew2_2,stepwise,1,False,6,12,319.0928087569773
taew2_2,stepwise,1,False,7,12,291.90684435889125
taew2_2,stepwise,1,False,8,12,308.2021428272128
taew2_2,stepwise,1,False,9,12,296.82352114468813
taew2_2,stepwise,1,False,10,12,314.55338886007667
taew2_2,stepwise,1,False,11,12,307.6276439242065
taew2_2,stepwise,1,False,12,12,311.630389187485
taew2_2,stepwise,1,False,13,12,296.5503307059407
taew2_2,stepwise,1,False,14,12,309.5133602619171
taew2_2,stepwise,1,False,15,12,296.3971379213035
taew2_2,stepwise,1,False,16,12,293.79066079854965
taew2_2,stepwise,1,False,17,12,295.5821449868381
taew2_2,stepwise,1,False,18,12,295.65897304564714
taew2_2,stepwise,1,False,19,12,304.50554098933935
taew2_2,stepwise,1,False,20,12,308.11330303549767
taew2_2,stepwise,1,False,21,12,303.6997811868787
taew2_2,stepwise,1,False,22,12,303.053752053529
taew2_2,stepwise,1,False,23,12,299.9165579676628
taew2_2,stepwise,1,False,24,12,297.53871774300933
taew2_2,stepwise,1,False,25,12,306.9747840054333
taew2_2,stepwise,1,False,26,12,302.8840203769505
taew2_2,stepwise,1,False,27,12,300.4861939698458
taew2_2,stepwise,1,False,28,12,304.10031182691455
taew2_2,stepwise,1,False,29,12,297.14633291587234
taew2_2,stepwise,1,False,30,12,313.91084706410766
taew2_2,stepwise,1,False,31,12,314.91931807249784
taew2_2,stepwise,1,False,32,12,304.9187851138413
taew2_2,stepwise,1,False,33,12,298.12611173838377
taew2_2,stepwise,1,False,34,12,296.61630699411035
taew2_2,stepwise,2,False,0,9,1001.7850999720395
taew2_2,stepwise,2,False,1,12,293.43900782987475
taew2_2,stepwise,2,False,2,12,290.8802581951022
taew2_2,stepwise,2,False,3,12,295.1849061064422
taew2_2,stepwise,2,False,4,12,335.5141207575798
taew2_2,stepwise,2,False,5,12,323.11599189415574
taew2_2,stepwise,2,False,6,12,283.66147400811315
taew2_2,stepwise,2,False,7,12,281.7526329308748
taew2_2,stepwise,2,False,8,12,288.5754592716694
taew2_2,stepwise,2,False,9,12,278.69177609682083
taew2_2,stepwise,2,False,10,12,304.2109487578273
taew2_2,stepwise,2,False,11,12,299.98881416395307
taew2_2,stepwise,2,False,12,12,303.256930783391
taew2_2,stepwise,2,False,13,12,298.83471317589283
taew2_2,stepwise,2,False,14,12,312.50381376594305
taew2_2,stepwise,2,False,15,12,304.51404210180044
taew2_2,stepwise,2,False,16,12,310.37067994475365
taew2_2,stepwise,2,False,17,12,306.47428799420595
taew2_2,stepwise,2,False,18,12,299.57089107483625
taew2_2,stepwise,2,False,19,12,295.2438918873668
taew2_2,stepwise,2,False,20,12,303.9012923836708
taew2_2,stepwise,2,False,21,12,299.41529501229525
taew2_2,stepwise,2,False,22,12,301.50548787787557
taew2_2,stepwise,2,False,23,12,294.3590017966926
taew2_2,stepwise,2,False,24,12,300.4632731899619
taew2_2,stepwise,2,False,25,12,306.9107341580093
taew2_2,stepwise,2,False,26,12,298.94198663532734
taew2_2,stepwise,2,False,27,12,302.5644929148257
taew2_2,stepwise,2,False,28,12,297.80612140893936
taew2_2,stepwise,2,False,29,12,293.64995565265417
taew2_2,stepwise,2,False,30,12,309.4299202784896
taew2_2,stepwise,2,False,31,12,296.7550898902118
taew2_2,stepwise,2,False,32,12,298.959095031023
taew2_2,stepwise,2,False,33,12,300.02201814204454
taew2_2,stepwise,2,False,34,12,299.3526579812169
taew2_2,stepwise,3,False,0,9,939.2781439237297
taew2_2,stepwise,3,False,1,12,291.60134168341756
taew2_2,stepwise,3,False,2,12,309.73786441609263
taew2_2,stepwise,3,False,3,12,292.5350987352431
taew2_2,stepwise,3,False,4,12,354.30466989055276
taew2_2,stepwise,3,False,5,12,291.7275531217456
taew2_2,stepwise,3,False,6,12,290.62594985589385
taew2_2,stepwise,3,False,7,12,284.0264020487666
taew2_2,stepwise,3,False,8,12,281.28386894240975
taew2_2,stepwise,3,False,9,12,297.57065000012517
taew2_2,stepwise,3,False,10,12,276.61437122151256
taew2_2,stepwise,3,False,11,12,289.1808650456369
taew2_2,stepwise,3,False,12,12,296.8432670459151
taew2_2,stepwise,3,False,13,12,284.9051430821419
taew2_2,stepwise,3,False,14,12,283.93576899543405
taew2_2,stepwise,3,False,15,12,290.2007820084691
taew2_2,stepwise,3,False,16,12,293.99047465994954
taew2_2,stepwise,3,False,17,12,292.9123449139297
taew2_2,stepwise,3,False,18,12,280.4471510462463
taew2_2,stepwise,3,False,19,12,295.8612283691764
taew2_2,stepwise,3,False,20,12,285.61241878196597
taew2_2,stepwise,3,False,21,12,290.0038920342922
taew2_2,stepwise,3,False,22,12,304.3680367991328
taew2_2,stepwise,3,False,23,12,298.46565425395966
taew2_2,stepwise,3,False,24,12,296.22975178062916
taew2_2,stepwise,3,False,25,12,297.45246609672904
taew2_2,stepwise,3,False,26,12,303.66005888208747
taew2_2,stepwise,3,False,27,12,287.8472600132227
taew2_2,stepwise,3,False,28,12,285.3713952936232
taew2_2,stepwise,3,False,29,12,289.9715658277273
taew2_2,stepwise,3,False,30,12,283.6909699253738
taew2_2,stepwise,3,False,31,12,333.4535900503397
taew2_2,stepwise,3,False,32,12,291.00616928189993
taew2_2,stepwise,3,False,33,12,287.0917646214366
taew2_2,stepwise,3,False,34,12,287.9292983561754
